,,
No,Nama Pengguna ,Comment
1,@danofficial2452,Ngos ngosanğŸ˜‚ğŸ˜‚ğŸ˜‚
2,@indriSaman,"ronde 1: jefri
ronde 2: draw
ronde 3: el
ronde 4: el"
3,@smsun1030,Pantesan artur beterbiev di juluki monsterğŸ˜‚â¤
4,@user-cv7qm7ld8m,Lawan rodtang aja biar seru wkwkwk
5,@user-xc9xj4ki2y,Ko bisa el menang ğŸ˜…ğŸ˜…
6,@mtaqiyuddin4910,Hahah penilain konyol
7,@semutireng8332,"Jefri power dan pukulan good tapi jarang in dan buang2 tenaga
El teknik pukulan masih gaya tarung bebas dan kurang power tapi sering hit masuk dan kebantj badannya yg gede
Harus diperbaiki teknik pukulannya, kalau tekniknya baik yakin sih jefri bisa di TKO el... Gimanaoun dalam bela diri postur berat pengaruhnya gede
Btw si jefri biar intropeksi jangan kebanyakan gaya sok nantangin orang2 gk terlatih giliran ketemu lawannya mewek dipojokan ini baru el si anak mama
Bayangin musuhnya rendy panggalila atau level atlit beneran macam crisjohn dkk jadi ayam geprek si nicole"
8,@user-xo4rb2lh6x,Kocak ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…
9,@bayuanggara7213,"Sebenarnya Jefri Bagus Powernya Dan Staminanya Lebih Tahan, Hanya Terlihat Ada Sedikit Keraguan,. El Rumi Bagus Jga Hanya Cepat Lowbat ğŸ˜… Tpi Tepatnya Kuat Dan Pandai Mengimbangi Bertahan Sambil Mengisi Stamina. Menurutku Bagitu Sih. Tpi 22 Nya Baik."
10,@ardiansyah-3268,Babak terakhir sama2 letoy seharusnya draw
11,@aboy937,Tambah 1 ronde... Auto Pingsan dua duanyağŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚
12,@tonyliong9518,Andaikan kalian berdua lawan Floyd Mayweather apa yang terjadi
13,@user-bo2oc7wc9o,Adu tinju pake pelindung kepalağŸ˜‚ lebih asik by one di lapangan belakang sekolah... BebasğŸ˜‚
14,@ipromotion1686,"Kl mau jujur kemenangan harusnya Jefry. Penilaian tinju bukan berdasarkan pukulan masuk, tapi ronde.
Kl lawan jatuh, otomatis poin 10:8 buat yg Mukul. Kl tdk Ada jatuh 9:8. 
Setidaknya Ada 2 ronde dimenangkan Jefry, 1 ronde draw, 1 ronde dimenangkan el rumi. Otomatis poin   35:34 untuk kemenangan Jefry."
15,@aliali-dz2cy,"Gak spotif ni wasitnya, sekalipun El Rumi menang, seharusnya Poinnya gak selisi 2, 

Mnurut gw, hanya hakim 1 yg memberikan penilaian yg sportif"
16,@umaralpharidi5030,"Jadwalkan Juga sparing artis Wanita ... 
Nikita Mirzani Vs Dewi persik .."
17,@subscribebos,"Strategi el rumi bagus, simpen tenaga di akhir ronde, nichole tabrakk terusss , yg akhirnya habis tenaga di akhir ronde, babak 3 dan 4 banyak yg ngelose punch nya ğŸ‰ğŸ‰ğŸ‰"
18,@bilabongbungas2035,Wow ptarungann yg luar biasa
19,@bilabongbungas2035,Spertinyaa el cerdas memakai tekhnik
20,@user-bl9ig2rn5k,Acara bagus ini...terbaru bikin musim nichğŸ˜Š
21,@kalibatamantab8092,"Jepri berantem elah, doi mah cuma bisa skidipapap sama bokisin cabe cabean !!"
22,@channelcampur202,"Baru komen,,,
untung pake pelindung kepala,coba klo ga,JN bisa ngeTKO El...
menurutQ sih"
23,@jhokowayfake,Dua duanya pake jurus mabuk?
24,@user-ds3yd2dw9d,Saran saya.... Para artis ini klo mau tunjukin kekuatan nya.. ikuti aja pencak dor. Lebih keliatan skilnya
25,@Moh.faizal,Ronde 4 jefri nocole babak belur dihajar
26,@ihsannusantara,Kemenanga halu..saya ikutin semua ronde tak satu rondepun dimenangkan oleh El Rumi..
27,@avengersassemble462,KkajeğŸ—¿ğŸ—¿
28,@sampurna26purna-sl3ks,"Jeffri seharusnya menang, banyak anggota dari El jadi disuap"
29,@savanian,Lucu lucuan anak gedongan....
30,@isarmadina5142,nampak sekali kecurangan xa tahii
31,@victorandodachi5918,"Namanya jg indonesia, pdhl yg banyak pukulan itu jefri ke el. Sabar ya jefri. 
Hi kenalin dong sy victorando sy ingin melawan el itu. Blh dong ekspose sy kesana. Bantu ya yg bisa dukung sy."
32,@tonymlong1081,"ego yang tinggi ternyata akan terjerumus kekalahan,resiko jefri sebenernyA udh bisa ko tetapi elrumi udh terllu lelah ketika jefri goyang dn menunuduk di menit terakhir kalo el rumi bisa memanfaatkan moment itu,,,ko sudah"
33,@saldydopa1353,"Bener sih yang menang El soalnya power Jefri udah allin diawal ,rounde 3-4 El banyak masuk point' dironde 2 itungangan imbang rounde 1 Jefri bagus tapi sayang udah habis powernya"
34,@user-ts5il3cb6z,Sebenarnya pukulan JN lebih mengena dan terarah.dr awal .ada satu ronde yg draw
35,@blackrider4615,"Bagi mata yang tidak terlatih, akan terlihat seolah-olah seorang petinju melakukan banyak pukulan, padahal sebagian besar pukulannya diblok atau tidak mendarat dengan rata.Â Seorang juri perlu mencari pukulan keras yang mendarat dengan bersih dan itu yang terjadi. .pukulan EL banyak yang mendarat telak dan bersih bukan spt JN yg nyerempet doangğŸ˜‚"
36,@user-ti7tt8bj3m,LucunyağŸ˜‚ğŸ˜‚ğŸ˜‚
37,@axlrae,"NEXT FIGHT 
EL RUMI VS AZKA ğŸ‘"
38,@pungkaswahyunto34,Harusnya yangvmenang jefri nikol
39,@Aka_Achmad,Hahahah..El rumi keok..wasit nya payah .buta
40,@taubatchannel1525,Seharusnya pelindung kepala dibuat lebih tebal lagi..dari bata ringan misalnya
41,@ludiayopijuniawan1702,Sangat jelas sekaliğŸ˜…ğŸ˜…ğŸ˜…
42,@imutmainah8084,kayak emosi gitu si jerfriğŸ¤£
43,@user-cn8vi5hi7u,Jlas bgt el kalah hakim g adil
44,@PERKONGSIANVIDEOONLINE,jn nafsu banget
45,@user-bx5cz6vy4h,Sengaja kalik kalah jefry
46,@user-tm6ir8wy4d,Dominan tarungan D bang jefri.. eh trnyata malah k balik yg menang el..hadeh
47,@user-wf1jj1jy4f,tinju gk jelas
48,@daffaputranto,"Jefri ngandelin hook
El rumi ngandelin jab and straight
Gw akuin hook itu bikin nguras tenaga. Jarang bgt jefri ngelakuin jab and straight harusnya dia kaya el. Makanya terkuras abis staminanya jefri. Goodjob el rumi dan jefri mantap"
49,@teguhriyadi-rq6lo,Pdhl bgus jefri mainy.tpi mlh mnang el . aneh
50,@WarnerBrosAceh-ie4lf,2 idiot sudah bertarungğŸ˜‚ğŸ˜‚
51,@romualdusjefri9639,Lemah banget mreka dua ni....memang klo kami org timur beda yah...kami lebih kuat dari mreka
52,@Pengaranghandal5521,"Masalahnya strategi sih. Jeff nargetin round awal tp perjanjiann make pelindung kpl, lawanya El bukan haters yg gapunya basic boxing. El disiplinnya konsisten dan Jeff terlalu ambisi buat Tko"
53,@user-gg3uq6xl7w,Wasit nyaa ajng
54,@zahrakirana2933,Hahahaha habis nafas petinju sempoyongan
55,@anakitiktokwi2939,Tinju yg lucu ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚
56,@anakitiktokwi2939,Jeffri itu kayak mau membunuh elğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚makanya pukulannya ganas ganasğŸ˜‚ğŸ˜‚ğŸ˜‚.. Dia sesuainya jd Street fighter ajağŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚
57,@dedemark1736,Aku blm hbs ntn .baru 1 ronde ja. Ku lihat gesit jefrry.. tpi lanjut dulu.ğŸ˜‚ğŸ˜Š
58,@rogerstanley3005,Juri nya dibayar berapa sm si botak?ğŸ¤”
59,@ujangtea5890,laki banget dh rumi
60,@nawirmunawir486,Pukulanya mirip emak2.lg hamilğŸ˜‚
61,@moroberkah5310,"Terlalu ingin menjatuhkan elrumi,, tapi pukulan jadi ga terarah.. main kyk gitu round 3 biasanya  sdh ngos2an.. round 4 smpe akhir milik elrumi"
62,@tandanielwijaya3047,Curang menurut saya jefri lebih banyak memukul telak... Ga masuk akal ini permainan
63,@hendrasuwandra991,seru Bos
64,@user-tp4oz6yo5e,Ah curang seharusnya Jefri menang
65,@dianalimardi88,Bagus lah. Biar si JN jangan sok jago mulu. JN dorong2 mulu. Berharap si El jatoh n mentalnya jatoh. Padahal bukan krn dipukul tp krn didorong.
66,@jajangsuriadin960,Padahal masih muda napas nya ampun cuman 4 rondeğŸ¤£ bayangin kalo d pukul Ryan GarciağŸ¤£
67,@holigoodslazada4338,UANG BERBICARA
68,@medailyshorts,ğŸ˜‚
69,@halfway7241,"Oh tinju ya, kirain balap motor pake helmğŸ˜…"
70,@epinluneto,"Jefri Nichols vs Randi Pangalila figth MMA?? 
mnding gak usah, kasih Jefri nya nnti, dijadiin samsakğŸ˜"
71,@user-og5hn5rl5h,Pukulan jauh bnyk jefri  tapi pukulnya banyk ke badan dan kena angin
72,@rezapramanaputra5652,El kaburÂ².an mulu ğŸ˜…
73,@lestarijaya1962,Komentatornya qemihak el rumi
74,@Sunsun-pg6qj,"Konten. Orang bodoh saja yang se7 dengan kemenangan itu. Jelas2 nikol yang lebih banyak masuk pukulan nya. 

Jangan di tonton lagi acara seperti ini"
75,@iwayansumarsana6988,Klo saya lihat jefri lah the winner...krn byk pukulan jab nya masuk....wahhhh da pa nich...
76,@ferriiswanto1069,"Kok bisa gitu ya, yg dibantai siapa yg menang siapa."
77,@3GChannel828,"Mau kalah mau menang
Mereka itu gentle"
78,@novianasari621,"untuk energi dan stamina gw pro ke jefri, untuk pertahanan memang el lbh bisa mengontrol pertahanan nya, pukulan el lbh sering kena mungkin krna tangannya lebih panjang nggak siğŸ˜… gw ğŸ˜…kurang paham olahraga ini"
79,@user-cl3pt4zb8i,Apan.y jelas jelas poin di tangan jefri nikol. Masa yg menang al. Poin mutlak buat jefri.nokol bos.
80,@singgihw9900,"Bgusan el rumu , rapih"
81,@jhozemadrid4444,"Juri apaan?? Ronde 1-3 jefri unggul, ronde 4 el rumi emang unggul sih tapi menit 7:42 el jatuh bukan kepleset itu pukulan dan kuda2nya yg gk kuat.. ga jelas jurinya gw nntn 3x dari 2 sisi, dari sudut pandang el sama jefri, harusnya jefri win no debat!"
82,@petualang90tv94,El irit tenaga di awal ronde.
83,@agussatria2235,Main sogok dong
84,@pampam-tu8hj,Di pertandingan ini inyong idolaku yg menang ....
85,@hakimyangadil5768,"Ngk JELAS CapekÂ² Bertanding aja kalau Juri Indonesian bisa d sogok, sungguh Membangonkan Para Petaruh aja Kalau begitu ğŸ˜‚ğŸ˜‚ğŸ˜‚"
86,@laksonoroy5109,"Pesona Ahmad dhani  dipecah diturunkan ke ketiga anaknya : 
Al : flamboyan
El : fighter 
Dul : seniman/musik"
87,@jumrianimuntaha5479,"Yg menang poin masuk UGD.
Lah yg kalah poin masuk Rumah makan..
Busettttt dahğŸ˜…ğŸ˜…ğŸ˜‚ğŸ˜‚ğŸ˜‚"
88,@mahyudiyudi8082,Jefri vs duit
89,@suspect6421,"Ini baru keren, gimana kalau lawan celos wkwkwkwk"
90,@SifaluMakruf-nw1wq,Coba lawan alghazali
91,@anisawicaksono5994,Apakah ini setingan..ğŸ˜‚ğŸ˜‚ğŸ˜‚
92,@ramdhanirama9951,Lu punya uang lu punya kuasağŸ˜‚bapak nya menghalalkan segala cara untuk kemenangan anak nyağŸ˜Š
93,@ramdhanirama9951,Kalo ga pakek pelindung seru ini
94,@oblank3535,"Wah nnti pasti ical turun nih tanding sama adenya el
ğŸ˜…"
95,@kawanriot1617,Kaya emak2 berantem ga sih
96,@SyaifBahri,Kelas rongsok
97,@kamdahir390,Lebih seru ini dr pda si vicky vs azka
98,@RadennJery,"Bacot lah jelas2 yang harusnya yang menguasai pertandingan yang harusnya menang, biasa lah sistem indo jagoan slalu kalah sama pihak kedua"
99,@ImanNungkyKautsar,"Kayak McGregor vs Diaz di UFC. McGregor yang hobi taunting dan ngeles ngabisin energi lawannya, sama Diaz yang gak terlalu bisa taunting, body dan tenaga lebih gede, yang penting bisa gebukin lawannya. ğŸ˜‚"
100,@rustamasa4377,"Menang poin dr wasid doank sih.
Dan faktanya sekarang El_Rumi malah tepar. Padahal lebih tinggi lebih panjang pula."
101,@abdulfatah8579,Jefri terlalu emosi jadi pukulannya banyak yg kosong sedangkan el tekniknya pinter Ã°Å¸â€˜ÂÃ°Å¸ÂÂ½
102,@aboy937,Tambah 1 ronde... Auto Pingsan dua duanyaÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š
103,@Aka_Achmad,Hahahah..El rumi keok..wasit nya payah .buta
104,@alfaizkhairunnisa8861,Komen nya pada serius amat Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€š.itu Udh di atur sblm bertarung siapa yg menang siapa yg kalah Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€š
105,@aliali-dz2cy,Gak spotif ni wasitnya sekalipun El Rumi menang seharusnya Poinnya gak selisi 2   Mnurut gw hanya hakim 1 yg memberikan penilaian yg sportif
106,@anakitiktokwi2939,Jeffri itu kayak mau membunuh elÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šmakanya pukulannya ganas ganasÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š.. Dia sesuainya jd Street fighter ajaÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š
107,@anakitiktokwi2939,Tinju yg lucu Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š
108,@aprixaurora3360,lucu disogok berapa para jurinya shg bs menang
109,@ardiansyah-3268,Babak terakhir sama2 letoy seharusnya draw
110,@asrulaslami1438,Norak skali cara tinju ini
111,@avengersassemble462,KkajeÃ°Å¸â€”Â¿Ã°Å¸â€”Â¿
112,@axlrae,NEXT FIGHT  EL RUMI VS AZKA Ã°Å¸â€˜Â
113,@bayuanggara7213,Sebenarnya Jefri Bagus Powernya Dan Staminanya Lebih Tahan Hanya Terlihat Ada Sedikit Keraguan. El Rumi Bagus Jga Hanya Cepat Lowbat Ã°Å¸Ëœâ€¦ Tpi Tepatnya Kuat Dan Pandai Mengimbangi Bertahan Sambil Mengisi Stamina. Menurutku Bagitu Sih. Tpi 22 Nya Baik.
114,@bilabongbungas2035,Spertinyaa el cerdas memakai tekhnik
115,@bilabongbungas2035,Wow ptarungann yg luar biasa
116,@blackrider4615,Bagi mata yang tidak terlatih akan terlihat seolah-olah seorang petinju melakukan banyak pukulan padahal sebagian besar pukulannya diblok atau tidak mendarat dengan rata.Ã‚Â Seorang juri perlu mencari pukulan keras yang mendarat dengan bersih dan itu yang terjadi. .pukulan EL banyak yang mendarat telak dan bersih bukan spt JN yg nyerempet doangÃ°Å¸Ëœâ€š
117,@channelcampur202,Baru komen untung pake pelindung kepalacoba klo gaJN bisa ngeTKO El... menurutQ sih
118,@daffaputranto,Jefri ngandelin hook El rumi ngandelin jab and straight Gw akuin hook itu bikin nguras tenaga. Jarang bgt jefri ngelakuin jab and straight harusnya dia kaya el. Makanya terkuras abis staminanya jefri. Goodjob el rumi dan jefri mantap
119,@danofficial2452,Ngos ngosanÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š
120,@darulhafizhin8788,Ikut terhibut.. Baru sekarang lihat pertandingannya..   El labih banyak kena sasaran pukulannya di banding jefri.. Pantas kalau el menang..   Penilaian saya sebagai penonton juri nya sudah Objektif dalam menilai..
121,@dedemark1736,Aku blm hbs ntn .baru 1 ronde ja. Ku lihat gesit jefrry.. tpi lanjut dulu.Ã°Å¸Ëœâ€šÃ°Å¸ËœÅ 
122,@dedyistta9930,Klo lihat di google tingginya gk jauh beda. Klo disini kontras banget perbedaannya
123,@dewapermana2198,Jefri mantap gesit
124,@dianalimardi88,Bagus lah. Biar si JN jangan sok jago mulu. JN dorong2 mulu. Berharap si El jatoh n mentalnya jatoh. Padahal bukan krn dipukul tp krn didorong.
125,@epinluneto,Jefri Nichols vs Randi Pangalila figth MMA??  mnding gak usah kasih Jefri nya nnti dijadiin samsakÃ°Å¸ËœÂ
126,@fianaferdiansyah343,Tanding ulangpasti Jao si elÃ°Å¸Ëœâ€š
127,@halfway7241,Oh tinju ya kirain balap motor pake helmÃ°Å¸Ëœâ€¦
128,@HendraHendra-st7lr,KLO ga ada pelindung kepala.. El Rumi udah pasti tumbang di awal
129,@hendrasuwandra991,seru Bos
130,@holigoodslazada4338,UANG BERBICARA
131,@ihsannusantara,Kemenanga halu..saya ikutin semua ronde tak satu rondepun dimenangkan oleh El Rumi..
132,@imutmainah8084,kayak emosi gitu si jerfriÃ°Å¸Â¤Â£
133,@indriSaman,ronde 1: jefri ronde 2: draw ronde 3: el ronde 4: el
134,@ipromotion1686,Kl mau jujur kemenangan harusnya Jefry. Penilaian tinju bukan berdasarkan pukulan masuk tapi ronde. Kl lawan jatuh otomatis poin 10:8 buat yg Mukul. Kl tdk Ada jatuh 9:8.  Setidaknya Ada 2 ronde dimenangkan Jefry 1 ronde draw 1 ronde dimenangkan el rumi. Otomatis poin   35:34 untuk kemenangan Jefry.
135,@isarmadina5142,nampak sekali kecurangan xa tahii
136,@iwansaputra9731,Pukukan el bnyak masuk .. jefri mengandalakan kekuatan tapi sering miss sehingga stamina cepat terkuras tapi salut buat jefri awal naik sudah mantap  salut juga buat el peningkatan yg bagus ..hasil fair mnurut saya sih ..top buat ke dua nya ..Ã°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜Â
137,@jajangsuriadin960,Padahal masih muda napas nya ampun cuman 4 rondeÃ°Å¸Â¤Â£ bayangin kalo d pukul Ryan GarciaÃ°Å¸Â¤Â£
138,@jhokowayfake,Dua duanya pake jurus mabuk?
139,@kalibatamantab8092,Jepri berantem elah doi mah cuma bisa skidipapap sama bokisin cabe cabean !!
140,@kanisius3819,Jefri Ã°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜Â
141,@lakhsinsalim298,WKW
142,@lestarijaya1962,Komentatornya qemihak el rumi
143,@ludiayopijuniawan1702,Sangat jelas sekaliÃ°Å¸Ëœâ€¦Ã°Å¸Ëœâ€¦Ã°Å¸Ëœâ€¦
144,@m27cndy20,Jefri sepertinya lebih memukul dech
145,@medailyshorts,Ã°Å¸Ëœâ€š
146,@Moh.faizal,Ronde 4 jefri nocole babak belur dihajar
147,@moroberkah5310,Terlalu ingin menjatuhkan elrumi tapi pukulan jadi ga terarah.. main kyk gitu round 3 biasanya  sdh ngos2an.. round 4 smpe akhir milik elrumi
148,@mtaqiyuddin4910,Hahah penilain konyol
149,@nawirmunawir486,Pukulanya mirip emak2.lg hamilÃ°Å¸Ëœâ€š
150,@Pengaranghandal5521,Masalahnya strategi sih. Jeff nargetin round awal tp perjanjiann make pelindung kpl lawanya El bukan haters yg gapunya basic boxing. El disiplinnya konsisten dan Jeff terlalu ambisi buat Tko
151,@PERKONGSIANVIDEOONLINE,jn nafsu banget
152,@prihandrexsonprihan3812,Itu Karna pukulan Tersungkur wah ga benar wasit
153,@pungkaswahyunto34,Harusnya yangvmenang jefri nikol
154,@RDMCREATOR,Bukan soal power stamina juga harus dipikirkan daripada harus buang buang tenaga lebih cepat.. keduanya sudah bagus strategi El menang power Jefri menang napas terakhir pertandingan keliatan sapa yang lebih engap..
155,@redmisdua4650,Mending kalian buat seri daripada menang untuk org yg gak bisa mukul. Dari sorakan penonton aja udah nampak kekecewaan banyak org karna keputusan juri.
156,@rezapramanaputra5652,El kaburÃ‚Â².an mulu Ã°Å¸Ëœâ€¦
157,@rianpribadi8598,Apa sy yg salah lihat waktu nya Masi ada 15menit ko udh selesai
158,@RizkiOnly18-kp3vr,Nafas Rokok wkwkwk
159,@robeerobee3798,Yg lebih kena banyak pukulan malah dia yg menang wkwkwkwwk anehÃ°Å¸Ëœâ€¦Ã°Å¸Ëœâ€¦
160,@rogerstanley3005,Juri nya dibayar berapa sm si botak?Ã°Å¸Â¤â€
161,@romualdusjefri9639,Lemah banget mreka dua ni....memang klo kami org timur beda yah...kami lebih kuat dari mreka
162,@saldydopa1353,Bener sih yang menang El soalnya power Jefri udah allin diawal rounde 3-4 El banyak masuk point' dironde 2 itungangan imbang rounde 1 Jefri bagus tapi sayang udah habis powernya
163,@sampurna26purna-sl3ks,Jeffri seharusnya menang banyak anggota dari El jadi disuap
164,@savanian,Lucu lucuan anak gedongan....
